feature,mean_abs_shap,selected,index_in_selected,config_name,model_name,original_f1,original_auc
rev_neg_13-methylmyristate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_13-HODE + 9-HODE,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_1-palmitoleoylglycerol (16:1),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_1-methylurate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_1-methylxanthine,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_1-myristoylglycerol (14:0),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_1-oleoyl-GPA (18:1),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_1-oleoyl-GPI (18:1),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_1-oleoylglycerol (18:1),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_1-palmitoyl-GPA (16:0),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_12-HETE,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_1-palmitoyl-GPI (16:0),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_1-palmitoylglycerol (16:0),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_1-stearoyl-GPI (18:0),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_10-heptadecenoate (17:1n7),0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_10-undecenoate (11:1n1),0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
"rev_neg_12,13-DiHOME",0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_aspartate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_biliverdin,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_benzoate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_oxalate (ethanedioate),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_N6-carbamoylthreonyladenosine,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_nonadecanoate (19:0),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_O-methylcatechol sulfate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_O-sulfo-L-tyrosine,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_octadecanedioate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_oleate/vaccenate (18:1),0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_p-cresol sulfate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_N-palmitoylglycine,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_palmitate (16:0),0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_palmitic amide,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_palmitoleate (16:1n7),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_palmitoyl ethanolamide,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_pantothenate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_paraxanthine,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_N6-acetyllysine,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_N-oleoyltaurine,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_phenol sulfate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_N-acetylmethionine,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_N-acetylcitrulline,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_N-acetylglutamine,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_N-acetylglycine,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_N-acetylhistidine,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_N-acetylisoleucine,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_N-acetylleucine,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_N-acetylphenylalanine,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_N-linoleoylglycine,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_N-acetyltaurine,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_N-acetyltryptophan,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_N-acetyltyrosine,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_N-acetylvaline,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_N-formylmethionine,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_N-formylphenylalanine,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_pentadecanoate (15:0),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_phenyllactate (PLA),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_myristoleate (14:1n5),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_thymol sulfate,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_taurocholate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_taurocholenate sulfate,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_taurodeoxycholate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_taurolithocholate 3-sulfate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_tetradecanedioate,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_theophylline,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_thyroxine,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_sulfate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_tricosenoate (23:1),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_uracil,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_urate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_uridine,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_ursodeoxycholate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_vanillylmandelate (VMA),0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_taurochenodeoxycholate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_suberate (octanedioate),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_phosphate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_proline,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_phosphoethanolamine,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_pipecolate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
