feature,mean_abs_shap,selected,index_in_selected,config_name,model_name,original_f1,original_auc,project,task_name
msp_0280,0.03223593160510063,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0125,0.030880829319357872,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0231,0.02989652380347252,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0312,0.02792150154709816,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0551,0.027887288480997086,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0906,0.027441460639238358,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0012,0.02740858867764473,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0986,0.026481978595256805,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0153,0.025385122746229172,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0069,0.025084495544433594,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0063,0.024159938097000122,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0110,0.02159828692674637,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_1219,0.016744080930948257,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0225,0.015798745676875114,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0072,0.015360936522483826,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0805,0.015338200144469738,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0522,0.015298639424145222,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0029,0.015016480349004269,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_1291,0.01381718274205923,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0060,0.013758992776274681,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0324,0.013229663483798504,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0763,0.013167532160878181,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0186,0.012987881898880005,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0027,0.011893462389707565,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_1173c,0.011868014000356197,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0338,0.011848121881484985,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0005,0.011488947086036205,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0076,0.011287260800600052,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0175,0.011131149716675282,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_0510,0.010733218863606453,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
msp_1236,0.010419785976409912,True,1,standard_random_forest_199f(10%)_NoBalance,XGBoost,0.867144901610018,0.951395256916996,phylum_abundance_PRJEB6337,D9_G2_S3
