model,scaling,feature_selection,balancing,min_across_tasks,max_across_tasks,mean_across_tasks,std_across_tasks,range,n_tasks
LightGBM,standard,differential,smote,0.8521385281385282,0.999809523809524,0.9394230906916329,0.058856374701670294,0.14767099567099584,6
LightGBM,none,variance,undersample,0.8520927601809956,0.9973026973026972,0.9428327369894217,0.04927859865983526,0.1452099371217016,6
LightGBM,none,random_forest,none,0.8519480519480519,0.999425287356322,0.9377147052196219,0.06189171109999953,0.14747723540827007,6
LightGBM,robust,random_forest,smote,0.8516363636363637,1.0,0.9378515392677799,0.056730090327146425,0.14836363636363625,6
RandomForest,robust,random_forest,undersample,0.851168831168831,1.0,0.9416854230239778,0.061695755771654294,0.14883116883116898,6
RandomForest,standard,random_forest,undersample,0.851168831168831,1.0,0.9416854230239778,0.061695755771654294,0.14883116883116898,6
RandomForest,none,random_forest,undersample,0.851168831168831,1.0,0.9416854230239778,0.061695755771654294,0.14883116883116898,6
LightGBM,standard,variance,undersample,0.8499811463046758,0.9882117882117882,0.9296746760870934,0.05678306325095503,0.13823064190711243,6
LightGBM,none,f_classif,undersample,0.8498868778280542,0.9882117882117882,0.935497164081113,0.051653249064458485,0.13832491038373407,6
RandomForest,log,random_forest,undersample,0.8498701298701297,1.0,0.9418656053735975,0.0615817336851596,0.15012987012987034,6
LightGBM,log,none,smote,0.8497835497835498,0.9994263820470716,0.9371918437540515,0.0546530876228313,0.14964283226352182,6
LightGBM,log,differential,smote,0.8493506493506494,1.0,0.932479077117824,0.059726450754287924,0.1506493506493506,6
LightGBM,robust,differential,undersample,0.8492081447963802,0.992207792207792,0.9381104220535387,0.052509203323052416,0.1429996474114118,6
LightGBM,log,mutual_info,none,0.8488499245852188,0.999616858237548,0.9369745356643011,0.060421413055061365,0.15076693365232918,6
RandomForest,log,mutual_info,undersample,0.84791341991342,1.0,0.9408308435161995,0.06197687146589618,0.15208658008658005,6
LightGBM,none,variance,none,0.8478614718614719,0.999616858237548,0.9468160868383331,0.058053708117912876,0.1517553863760761,6
RandomForest,none,variance,undersample,0.8466839826839827,1.0,0.9422859729632549,0.06179374187933655,0.1533160173160173,6
LightGBM,log,random_forest,none,0.8465974025974028,0.999616858237548,0.9364446699630798,0.06309321507485585,0.15301945564014519,6
XGBoost,standard,variance,undersample,0.8464415584415586,0.9934065934065934,0.9319275780813437,0.06175774761019166,0.14696503496503488,6
RandomForest,none,f_classif,none,0.8462337662337662,1.0,0.939721981201521,0.0629780579292849,0.15376623376623377,6
RandomForest,robust,f_classif,none,0.8462337662337662,1.0,0.939721981201521,0.0629780579292849,0.15376623376623377,6
RandomForest,robust,mutual_info,none,0.8459567099567099,1.0,0.9418157737403261,0.06102656576405513,0.1540432900432901,6
LightGBM,robust,f_classif,undersample,0.8458521870286576,0.992207792207792,0.9404527729506253,0.054152019841272686,0.14635560517913437,6
RandomForest,robust,random_forest,none,0.8452294372294371,1.0,0.9430469002642253,0.0596625769816596,0.1547705627705629,6
RandomForest,standard,random_forest,none,0.8452294372294371,1.0,0.9430788287444297,0.059692987929341405,0.1547705627705629,6
RandomForest,none,random_forest,none,0.8452294372294371,1.0,0.9430788287444297,0.059692987929341405,0.1547705627705629,6
LightGBM,none,differential,smote,0.8451428571428572,0.999809523809524,0.9337698491477265,0.06300581561561383,0.15466666666666684,6
LightGBM,log,differential,none,0.8447398190045249,0.999616858237548,0.931419607784565,0.06275676750043152,0.1548770392330231,6
LightGBM,none,differential,none,0.8447398190045249,0.999616858237548,0.9317440007828711,0.06216741317395076,0.1548770392330231,6
LightGBM,standard,f_classif,undersample,0.8446644042232277,0.9883116883116884,0.93495345949987,0.05370656008281229,0.14364728408846061,6
LightGBM,standard,random_forest,none,0.8445887445887446,0.999616858237548,0.9367075170194051,0.062043403425316015,0.15502811364880342,6
LightGBM,standard,differential,none,0.8445541125541126,0.999616858237548,0.9343662495911812,0.06510126967429562,0.15506274568343537,6
LightGBM,robust,differential,none,0.8436651583710407,0.9992348111658456,0.9385803459727305,0.06438083328959425,0.15556965279480484,6
RandomForest,log,f_classif,none,0.8435064935064934,1.0,0.9411383524120097,0.062151900980057635,0.15649350649350657,6
