model,scaling,feature_selection,balancing,min_across_tasks,max_across_tasks,mean_across_tasks,std_across_tasks,range,n_tasks
RandomForest,standard,mutual_info,undersample,0.8426147186147187,1.0,0.9440952234244412,0.059795911045832706,0.1573852813852813,6
RandomForest,standard,f_classif,undersample,0.8421818181818181,1.0,0.9398906555933411,0.06259460760302478,0.15781818181818186,6
RandomForest,log,none,undersample,0.8417748917748918,1.0,0.9404675416583985,0.060806574722462335,0.15822510822510816,6
RandomForest,standard,f_classif,none,0.8416709956709957,1.0,0.9392287570343837,0.06412004916718725,0.15832900432900432,6
RandomForest,robust,mutual_info,undersample,0.8415064935064935,1.0,0.9426483928577588,0.05985200115749112,0.15849350649350646,6
XGBoost,standard,variance,none,0.8414025974025975,1.0,0.9376975317947185,0.06127566720804291,0.15859740259740251,6
RandomForest,log,random_forest,smote,0.8405367965367965,1.0,0.941704076897811,0.06110336145226183,0.15946320346320353,6
RandomForest,log,mutual_info,none,0.8404675324675324,1.0,0.9407056139370717,0.062320524963358666,0.15953246753246764,6
RandomForest,none,mutual_info,smote,0.8398268398268399,1.0,0.9415015173445481,0.06129898205456198,0.16017316017316008,6
RandomForest,none,mutual_info,none,0.8397056277056277,1.0,0.9394711779766127,0.06520071992109099,0.16029437229437227,6
LightGBM,none,none,smote,0.8389610389610389,0.999808429118774,0.9398855462729482,0.06086050723969079,0.16084739015773508,6
RandomForest,log,random_forest,none,0.8385627705627705,1.0,0.9413921086018272,0.061681866358629704,0.1614372294372295,6
RandomForest,none,differential,smote,0.8381125541125541,1.0,0.9414002701617791,0.061706671394923626,0.16188744588744586,6
RandomForest,none,mutual_info,undersample,0.8379047619047618,1.0,0.9423060251058972,0.06138482222453432,0.16209523809523818,6
RandomForest,standard,mutual_info,none,0.8377662337662336,1.0,0.9402866278365,0.06428323591863869,0.1622337662337664,6
LightGBM,log,none,none,0.8372640692640692,0.9992337164750958,0.9359552213664016,0.05917238728318088,0.1619696472110267,6
RandomForest,robust,mutual_info,smote,0.8369350649350649,1.0,0.9402687541216953,0.06318649597075833,0.16306493506493513,6
RandomForest,standard,variance,smote,0.836848484848485,1.0,0.9434143511920984,0.05964708685120515,0.16315151515151505,6
LightGBM,robust,differential,smote,0.8368024132730015,0.999808429118774,0.9372455027416003,0.06582164860008437,0.16300601584577246,6
RandomForest,log,mutual_info,smote,0.8362597402597401,1.0,0.9415915078811498,0.061710387720194076,0.16374025974025985,6
RandomForest,standard,variance,none,0.8362597402597401,1.0,0.9417354308299939,0.06109478459021404,0.16374025974025985,6
RandomForest,none,random_forest,smote,0.8358095238095238,1.0,0.9418494252266632,0.061598796777422006,0.16419047619047622,6
RandomForest,none,f_classif,smote,0.8347012987012986,1.0,0.9377039182400435,0.06666930780628673,0.1652987012987014,6
LightGBM,standard,none,none,0.8340432900432901,0.9990432402846195,0.9309677865931613,0.06321446655502004,0.1649999502413294,6
RandomForest,standard,none,undersample,0.8333160173160173,1.0,0.9394755197913766,0.06320852512747602,0.16668398268398266,6
RandomForest,none,none,undersample,0.8333160173160173,1.0,0.9394755197913766,0.06320852512747602,0.16668398268398266,6
RandomForest,robust,none,undersample,0.8333160173160173,1.0,0.9394755197913766,0.06320852512747602,0.16668398268398266,6
RandomForest,none,variance,none,0.8326233766233766,1.0,0.9403658795231024,0.06526010894805696,0.1673766233766234,6
RandomForest,robust,f_classif,smote,0.8324848484848484,1.0,0.9381734131171471,0.06759226888596283,0.16751515151515162,6
RandomForest,standard,random_forest,smote,0.8313073593073593,1.0,0.9410979932258705,0.0634595295906449,0.16869264069264067,6
RandomForest,robust,random_forest,smote,0.8311341991341991,1.0,0.944212433843508,0.061707339942784364,0.16886580086580094,6
XGBoost,robust,variance,none,0.8310897435897436,1.0,0.9398564780629998,0.06747800838458473,0.16891025641025637,6
RandomForest,standard,mutual_info,smote,0.8309610389610389,1.0,0.9418617335704932,0.06315133231957656,0.1690389610389611,6
RandomForest,none,variance,smote,0.8308225108225107,1.0,0.9399180847773537,0.06586665901347424,0.16917748917748932,6
RandomForest,none,f_classif,undersample,0.8306666666666667,1.0,0.9384493022606835,0.06601505434106712,0.16933333333333334,6
RandomForest,robust,f_classif,undersample,0.8306666666666667,1.0,0.9384493022606835,0.06601505434106712,0.16933333333333334,6
RandomForest,standard,f_classif,smote,0.8301471861471862,1.0,0.9388562381423635,0.06565415908340692,0.1698528138528138,6
RandomForest,log,f_classif,undersample,0.830025974025974,1.0,0.9387922943070003,0.06575512939002956,0.169974025974026,6
RandomForest,standard,differential,smote,0.8281038961038961,1.0,0.9384962419649122,0.06639629264582164,0.17189610389610388,6
RandomForest,log,differential,smote,0.8278441558441558,1.0,0.9376844318653781,0.06684946710887342,0.17215584415584417,6
RandomForest,log,f_classif,smote,0.8251341991341992,1.0,0.9381160745335938,0.06730567851971178,0.17486580086580084,6
RandomForest,robust,variance,none,0.824528657616893,1.0,0.9308315082331706,0.07537524381559851,0.17547134238310702,6
XGBoost,standard,variance,smote,0.8237229437229437,0.999808429118774,0.9331089496811341,0.06415805122524326,0.17608548539583024,6
XGBoost,robust,variance,smote,0.8231334841628959,1.0,0.9383316770612168,0.07108006134003816,0.1768665158371041,6
LightGBM,none,none,none,0.8229610389610391,0.9992348111658456,0.9387127796090006,0.06579449611763642,0.17627377220480644,6
XGBoost,log,variance,none,0.8216628959276019,0.9988516694033936,0.9352972860782852,0.06631981447777786,0.17718877347579176,6
LightGBM,standard,variance,none,0.8216450216450216,0.999616858237548,0.9342873688952928,0.06547747504619586,0.17797183659252636,6
RandomForest,robust,differential,smote,0.8204935064935064,1.0,0.9357018446884177,0.07101955200181591,0.17950649350649361,6
